ProductId,CategoryId,AddedDate,AddedBy,Title,Price,Brand,Discount,ProductArtUrl,Description,CategoryId,AddedDate,AddedBy,Name,ParentCategoryId,Description,StockOfNonVariant,RowVersion,UnitInStock,Colour,Size,VariantId,OptionalImageURL,chcekboxAnswer
1,18,7/15/2020 17:36,manojchand@gmail.com,Printed Polo Collar T-Shirt,637,FIDO DIDO,50,/images/FASHION_DATA/MensWear/TopWear/T-Shirts/1.jpg,,0,01/01/0001 00:00:00,,,0,,,0x00000000000007D1,50,,,,,FALSE
2,18,7/15/2020 17:36,manojchand@gmail.com,Slim Fit Polo Collar T-Shirt,637,FIDO DIDO,50,/images/FASHION_DATA/MensWear/TopWear/T-Shirts/2.jpg,,0,01/01/0001 00:00:00,,,0,,,0x00000000000007D2,50,,,,,FALSE
3,18,7/15/2020 17:36,manojchand@gmail.com,Solid Polo Collar T-Shirt,999,HERE&NOW,0,/images/FASHION_DATA/MensWear/TopWear/T-Shirts/3.jpg,,0,01/01/0001 00:00:00,,,0,,,0x00000000000007D3,50,,,,,FALSE
4,18,7/15/2020 17:36,manojchand@gmail.com,"Color Block Men Round Neck White, Plue Grey T-Shirt",999,AUSK,60,/images/FASHION_DATA/MensWear/TopWear/T-Shirts/4.jpg,,0,01/01/0001 00:00:00,,,0,,,0x00000000000007D4,50,,,,,FALSE
5,18,7/15/2020 17:36,manojchand@gmail.com,Color Block Men Round Neck Dark Blue T-Shirt,1499,Wrath,72,/images/FASHION_DATA/MensWear/TopWear/T-Shirts/5.jpg,,0,01/01/0001 00:00:00,,,0,,,0x00000000000007D5,50,,,,,FALSE
6,18,7/15/2020 17:36,manojchand@gmail.com,"Color Block Men Round Neck White, Blue, Yellow T-Shirt",1499,Aelomart,70,/images/FASHION_DATA/MensWear/TopWear/T-Shirts/6.jpg,,0,01/01/0001 00:00:00,,,0,,,0x00000000000007D6,50,,,,,FALSE
7,18,7/15/2020 17:36,manojchand@gmail.com,STATUS QUO Printed Slim Fit Crew Neck T-Shirt,699,Regular,50,"
/images/FASHION_DATA/MensWear/TopWear/T-Shirts/7.jpg",,0,01/01/0001 00:00:00,,,0,,,0x00000000000007D7,50,,,,,FALSE
9,18,7/15/2020 17:36,manojchand@gmail.com,SMILEY Graphic Print Regular Fit T-Shirt,599,Regular,40,"
/images/FASHION_DATA/MensWear/TopWear/T-Shirts/8.jpg",,0,01/01/0001 00:00:00,,,0,,,0x00000000000007D8,50,,,,,FALSE
10,18,7/15/2020 17:36,manojchand@gmail.com,FORCE Textured Regular Fit Crew Nect T-Shirt,599,Regular,40,"
/images/FASHION_DATA/MensWear/TopWear/T-Shirts/9.jpg",,0,01/01/0001 00:00:00,,,0,,,0x00000000000007D9,50,,,,,FALSE
11,18,7/15/2020 17:36,manojchand@gmail.com,Striped Polo T-Shirt,899,Roadster,20,"
/images/FASHION_DATA/MensWear/TopWear/T-Shirts/10.jpg",,0,01/01/0001 00:00:00,,,0,,,0x00000000000007DA,50,,,,,FALSE
